,x,y,z,score
127,0.684,-0.729,0.026,0.2666160149473512
128,0.369,0.92,-0.135,0.24059737780790966
129,-0.918,0.196,0.345,0.21998958165842653
130,-0.479,-0.739,-0.474,0.11785954072793295
131,0.912,0.186,0.366,0.049058662744271786
132,0.033,-0.749,0.662,0.24404595703425055
133,-0.426,0.176,-0.888,0.27032857661706566
134,0.416,-0.759,-0.501,0.5491612652096889
135,0.704,-0.015,0.71,0.14522595493215795
136,-0.286,0.166,0.944,1.0613420621380467
137,-0.633,-0.769,0.087,0.03411011959720109
138,0.85,0.156,-0.504,0.17137349375081679
139,0.516,-0.779,0.357,0.2088454347426246
140,-0.11,-0.95,0.293,0.22016006174983613
141,-0.968,0.146,-0.203,0.28876509912131615
142,-0.137,-0.789,-0.599,0.12412955764784062
143,0.578,0.136,0.805,0.25284019667244506
144,-0.297,-0.799,0.523,0.11634981131018521
145,0.118,0.126,-0.985,0.947369189941952
146,0.559,-0.809,-0.18,0.44603239423335217
147,-0.384,0.91,-0.159,0.4918693292075023
148,-0.753,0.116,0.648,0.3175480741330913
149,-0.522,-0.819,-0.239,0.042609939482606135
150,0.994,0.106,0.031,0.08084099898107094
151,0.217,-0.829,0.515,0.0515564943544595
152,-0.712,0.095,-0.695,0.12372523325147827
153,0.182,-0.839,-0.512,0.09281095395040162
154,0.056,0.085,0.995,1.140899736014551
155,-0.467,-0.849,0.247,0.053762981529302395
156,0.631,0.075,-0.772,0.40348366981920614
157,0.495,-0.859,0.129,0.17490831311954813
158,-0.04,-0.025,-0.999,0.7191634026762748
159,0.25,-0.96,-0.127,0.34175337287630325
160,0.185,0.899,0.396,0.16607490324497576
161,-0.645,-0.035,0.763,0.5333614678937446
162,-0.235,-0.97,-0.065,0.1573935471833324
163,0.137,0.889,-0.436,0.219233900435835
164,0.991,-0.045,-0.127,0.10865554750843881
165,0.106,-0.98,0.169,0.3717348701831283
166,-0.412,0.879,0.239,0.4328928893303482
167,-0.816,-0.055,-0.576,0.15963646995875735
168,0.026,-0.99,-0.139,0.2766546078574913
169,0.305,0.055,-0.951,1.040765155745654
170,0.483,0.869,0.106,0.12780811956292365
171,0.213,-0.065,0.975,1.1974646157323132
172,-0.0,-1.0,0.0,0.3211075420428706
173,-0.294,0.859,-0.418,0.34287111681206384
174,0.501,-0.075,-0.862,0.9375609594505734
175,-0.068,0.849,0.524,0.16512394264480224
176,-0.951,-0.085,0.297,0.08693510029598245
177,0.473,-0.879,-0.057,0.17018051857853986
178,0.416,0.839,-0.35,0.16656665053909905
179,0.901,-0.095,0.423,0.17251820301631995
180,-0.559,0.829,-0.023,0.4136254889638209
181,-0.378,-0.106,-0.92,0.37336782526101897
182,0.407,0.819,0.405,0.12271117781427698
183,0.017,0.98,0.199,0.3330218564568151
184,-0.342,-0.116,0.932,1.014877959865185
185,-0.027,0.809,-0.587,0.13848319389315636
186,0.881,-0.126,-0.456,0.14270280591200518
187,-0.385,0.799,0.462,0.2050353389634691
188,-0.956,-0.136,-0.259,0.21964370716790654
189,-0.868,0.045,0.495,0.13744501917227842
190,0.609,0.789,-0.082,0.09302831768796666
191,0.53,-0.146,0.836,0.34497064416447987
192,-0.515,0.779,-0.358,0.28439431036430773
193,0.174,-0.156,-0.972,0.7584002387034037
194,0.14,0.769,0.624,0.0546409166915337
195,-0.784,-0.166,0.599,0.23420671174300856
196,0.324,0.759,-0.565,0.09599917880277328
197,0.98,-0.176,0.088,0.25463582239327337
198,-0.632,0.749,0.201,0.3533581617563424
199,-0.663,-0.186,-0.726,0.0
