file_name,file_name_string,score,pitch,yaw,roll,x,y,z
37,A240105_15513418.png,0.0190459494782217,7.663,-70.65,247,-0.4361287983234985,0.1958129298595299,20.699041211366804
38,A240105_15520352.png,0.0252445337018108,7.663,-70.65,245,-0.4253749803896958,0.2481354052273225,20.60925292585736
39,A240105_15522904.png,0.0373063098869264,81.366,68.85,317,-0.4354154211770561,0.3364573709095433,23.01350006221227
40,A240105_15525433.png,0.0384400514944881,7.663,-70.65,235,-0.3675042288210418,0.3500040274486112,20.349071363291355
41,A240105_15532032.png,0.0350918515350423,0.0,-89.55,233,-0.3641245781847687,0.4201437440593485,21.71285499014721
42,A240105_15534607.png,0.0350088619583402,0.0,-89.55,227,-0.3368647115406956,0.4772250080159855,21.76128627523874
43,A240105_15541297.png,0.0385485192379291,262.616,-76.05,326,-0.2763196747441613,0.5065860703642957,21.420129825128782
44,A240105_15543868.png,0.0299130118159162,0.0,-89.55,219,-0.2520881944916695,0.5601959877592656,21.713022781366885
45,A240105_15550629.png,0.015594201216512,0.0,-89.55,214,-0.1943802139004657,0.5831406417013972,21.526048050992888
46,A240105_15553325.png,0.0159843415064229,0.0,-89.55,209,-0.1489688651881078,0.6238071229752014,21.652451335480787
47,A240105_15560462.png,0.0102534398305835,0.0,-89.55,204,-0.092202458847501,0.6361969660477573,21.44243229011653
48,A240105_15563140.png,0.0238575561114245,0.0,-89.55,201,-0.0374102895891874,0.6827377850026705,21.750168365806644
49,A240105_15565815.png,0.0156005037009432,0.0,-89.55,195,0.0092543572774484,0.6848224385311824,21.521761110345142
50,A240105_15572356.png,0.0188282063775903,0.0,-89.55,189,0.0646952673530896,0.6931635787831035,21.49344430335205
51,A240105_15575013.png,0.0339082205463453,0.0,-89.55,185,0.1191674912368552,0.6875047571357036,21.31797696544817
52,A240105_15581653.png,0.0354178001752012,0.0,-89.55,180,0.1743755846405104,0.6975023385620418,21.343400812791977
53,A240105_15584254.png,0.0335529657997518,28.843,66.15,198,0.162509299265974,0.4960810188119208,19.890979102322408
54,A240105_15590905.png,0.0316521086260233,0.0,-89.55,171,0.2552533580056241,0.6073269552547608,20.4693951889033
55,A240105_15593590.png,0.0159540064997447,20.062,-82.35,152,0.3300786116437487,0.6693260736109349,21.32290772892434
56,A240105_16000567.png,0.0249644008507449,20.062,-82.35,147,0.3989697699457141,0.6773207722334217,21.57759707656648
57,A240105_16003429.png,0.0346006378930499,20.062,-82.35,142,0.456044806155757,0.6607996170828315,21.644271768189704
58,A240105_16005915.png,0.0345784331175973,20.062,-82.35,137,0.5138952974004547,0.6540485603278513,21.729188050759184
59,A240105_16012405.png,0.0391363165194299,20.062,-82.35,132,0.5675272340747695,0.6140458598186029,21.63657011341096
60,A240105_16015136.png,0.0385424574111021,20.062,-82.35,129,0.6149723736228739,0.5870190839127434,21.66921682955864
61,A240105_16021678.png,0.0271233279105775,20.062,-82.35,123,0.6760252475875398,0.5727436125394436,21.835440813551035
62,A240105_16024304.png,0.0338343412071084,0.0,-89.55,131,0.7169016145737006,0.5400038135749953,21.652117625300534
63,A240105_16030806.png,0.0140910653594002,20.062,-82.35,112,0.7635620462861394,0.4996146722613011,21.92253937083375
64,A240105_16033261.png,0.0324633605504156,0.0,-89.55,124,0.7981443517863662,0.4601067439709641,21.83705476843684
65,A240105_16035814.png,0.0211030111451549,0.0,-89.55,118,0.8433309218384027,0.4122951173432191,21.791496688330824
66,A240105_16042309.png,0.0213230910490895,0.0,-89.55,112,0.8671511891090942,0.3543198407112428,21.68420077792184
